Symbol,Company,LTP,Share Outstanding,Floated Shares,Market Cap (NPR),Floated Market Cap,Impact In NEPSE,50D Avg Volume
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,951,3671434,1468573.64,3491533829.10,1396613532,0.08 %,2080.74
ADBL,Agricultural Development Bank Limited,300,143055192,70097044.16,42916557651.88,21029113249,0.94 %,39728.66
AHL,Asian Hydropower Limited,579,3400000,823200.00,1968600000.00,476632800,0.04 %,9153.6
AHPC,Arun Valley Hydropower Development Co. Ltd.,272,40404028,40404028.15,10989895657.18,10989895657,0.24 %,100833.4
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,312,20000000,20000000.00,6240000000.00,6240000000,0.14 %,355343.02
AKPL,Arun Kabeli Power Ltd.,271,38959421,38959421.00,10558003091.00,10558003091,0.23 %,146649.46
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1155,8026857,2608728.45,9271019564.73,3013081359,0.20 %,30929.84
ALICL,Asian Life Insurance Co. Limited,477,50011591,24505679.80,23855529107.30,11689209263,0.52 %,51345.08
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,6051,783433,255634.13,4740551963.56,1546842106,0.10 %,324.74
API,API Power Company Limited,299.7,60759278,60759278.05,18209555633.08,18209555633,0.40 %,145638.18
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,968,2500000,975000.00,2420000000.00,943800000,0.05 %,2866.42
BANDIPUR,Bandipur Cable Car and Tourism Limited,1080,28300000,5860930.00,30564000000.00,6329804400,0.67 %,145086.7
BARUN,Barun Hydropower Co. Ltd.,371,10975566,10975565.68,4071934868.21,4071934868,0.09 %,201402.9
BBC,Bishal Bazar Company Limited,4848.9,491400,73710.00,2382749460.00,357412419,0.05 %,385.76
BEDC,Bhugol Energy Development Company Limited,550,5440534,1525377.87,2992293700.00,838957827,0.07 %,20963.6
BFC,Best Finance Company Ltd.,484,8904242,3561696.96,4309653321.60,1723861329,0.09 %,34661.92
BGWT,Bhagawati Hydropower Development Company Ltd,793,6782399,997012.54,5378442472.98,790630941,0.12 %,3002.12
BHCL,Bikash Hydropower Company Limited,618,9091013,4454596.37,5618246034.00,2752940557,0.12 %,110101.08
BHDC,Bindhyabasini Hydropower Development Company Limited,481,11862900,11862900.00,5706054900.00,5706054900,0.13 %,42750.3
BHL,Balephi Hydropower Limited,207.5,36559400,36559400.00,7586075500.00,7586075500,0.17 %,144216.36
BHPL,Barahi Hydropower Public Limited,595,2500000,2500000.00,1487500000.00,1487500000,0.03 %,62132.68
BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.,571,4000000,4000000.00,2284000000.00,2284000000,0.05 %,18267.06
BNL,Bottlers Nepal (Balaju) Limited,15589,1948887,179687.38,30381199443.00,2801146589,0.67 %,29.06
BNT,Bottlers Nepal (Terai) Limited,11705.2,1210000,111562.00,14163292000.00,1305855522,0.31 %,181.34
BPCL,Butwal Power Company Limited,781.8,34090650,34090650.00,26652070170.00,26652070170,0.58 %,136637.66
BUNGAL,Bungal Hydro Limited,720,8300000,2905000.00,5976000000.00,2091600000,0.13 %,76887.7
CBBL,Chhimek Laghubitta Bikas Bank Limited,936,36172641,17724594.10,33857591990.04,16590220075,0.74 %,23682.28
CFCL,Central Finance Co. Ltd.,580,9488755,4626716.74,5503477660.65,2683495707,0.12 %,35978.6
CGH,Chandragiri Hills Limited,884,16107956,16107955.58,14239432736.26,14239432736,0.31 %,22174.7
CHCL,Chilime Hydropower Company Limited,474,94849887,94849886.74,44958846312.86,44958846313,0.99 %,42029.96
CHDC,CEDB Holdings Limited,2455,10342371,10342370.61,25390519847.55,25390519848,0.56 %,29967.08
CHL,Chhyangdi Hydropower Ltd.,287,7739550,7739550.00,2221250850.00,2221250850,0.05 %,60873.66
CIT,Citizen Investment Trust,1773,68057979,13611595.73,120666796102.13,24133359220,2.65 %,8299.8
CITY,City Hotel Limited,485,30132000,2892672.00,14614020000.00,1402945920,0.32 %,10329.66
CKHL,Chirkhwa Hydropower Limited,749.7,4000000,979300.00,2998800000.00,734181210,0.07 %,9918.84
CLI,Citizen Life Insurance Company Limited,474.1,50000000,15000000.00,23704999999.23,7111500000,0.52 %,48061.34
CORBL,Corporate Development Bank Limited,1977.1,5250000,1575000.00,10379775000.00,3113932500,0.23 %,8708.24
CREST,Crest Micro Life Insurance Ltd.,1450,7500000,2250000.00,10875000000.00,3262500000,0.24 %,20157.76
CYCL,Cyc Nepal Laghubitta Bittiya Sanstha Limited,1580,2664244,865879.27,4209505362.00,1368089243,0.09 %,3593.76
CZBIL,Citizen Bank International Limited,198.9,155098063,75998050.64,30849004637.46,15116012272,0.68 %,44546.7
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,840,20551143,10070059.93,17262959875.07,8458850339,0.38 %,10079.78
DHEL,Daramkhola Hydro Energy Limited,763,10305000,3949906.50,7862715000.00,3013778659,0.17 %,76224.22
DHPL,Dibyashwori Hydropower Ltd.,305.3,2640000,2640000.00,805992000.00,805992000,0.02 %,13218.6
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1375,1331000,427251.00,1830125000.00,587470125,0.04 %,1028.72
DOLTI,Dolti Power Company Ltd,544.9,5364860,1587999.00,2923312214.00,865300655,0.06 %,7989.82
DORDI,Dordi Khola Jalbidhyut Company Limited,284,20991579,20991579.00,5961608436.00,5961608436,0.13 %,171257.66
EBL,Everest Bank Limited,673.3,137213756,55942048.41,92386022055.65,37665781192,2.03 %,23952.48
EDBL,Excel Development Bank Ltd.,612,12496945,6123503.08,7648130377.06,3747583885,0.17 %,24275.74
EHPL,Eastern Hydropower Limited,449.8,6200000,6200000.00,2788760000.00,2788760000,0.06 %,72283.1
ENL,Emerging Nepal Limited,950,5556001,5556000.80,5278200760.00,5278200760,0.12 %,1634.46
FMDBL,First Micro Finance Development Bank Ltd.,815,13448713,6589869.49,10960701290.14,5370743632,0.24 %,29859.78
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,1095,11959537,3587861.13,13095693135.96,3928707941,0.29 %,2438.6
